amfi_code,Sharpe_Ratio
148567,1.4482911703262593
120843,1.3067439695428407
148569,1.2349300257743294
119551,1.2082665673727175
120505,1.1801011976606495
149323,1.1321218524747243
100033,1.0936987435346313
118632,1.0816591793457038
101206,1.0272133278753701
120504,1.0265242847993
119094,0.9982309868636414
119552,0.9532794968660094
149324,0.9497958246616028
119598,0.9453082575156091
148568,0.9262873467360146
102885,0.8170993373494366
120503,0.7979728586052853
125497,0.7757902498211211
118635,0.6648569985490614
120506,0.6488787755249535
118633,0.6452074382933211
102887,0.6195175900829826
120507,0.4957233929533125
120841,0.4942725378672354
149322,0.46403744922047724
118634,0.44843400890899143
125498,0.3006119210425476
101207,0.16266076928646767
119093,0.12961449795669316
120842,0.07599984804658917
119092,0.030784850954585892
119599,-0.05718662582817994
119095,-0.07597357117478919
120844,-0.08874729621557328
100016,-0.20151706755966947
102886,-0.20583160785470325
119120,-0.22657538662791604
118636,-0.3566295075143681
100025,-0.5670947928476846
101208,-0.8155673679088274
